Gear Assembly,GA Category,Month,Quarter,Fiscal Year,Quantity Produced,Sales Quantity,Price
Gear Assembly 2 (BS4),BS4 Only,August,Q2,2019-20,5210,4662,475
Gear Assembly 2 (BS4),BS4 Only,September,Q2,2019-20,6641,6103,521
Gear Assembly 2 (BS4),BS4 Only,October,Q3,2019-20,5932,5676,462
Gear Assembly 2 (BS4),BS4 Only,November,Q3,2019-20,6362,5617,503
Gear Assembly 2 (BS4),BS4 Only,December,Q3,2019-20,5786,5276,435
Gear Assembly 2 (BS4),BS4 Only,January,Q4,2019-20,6722,6428,440
Gear Assembly 2 (BS4),BS4 Only,February,Q4,2019-20,5485,5382,364
Gear Assembly 2 (BS4),BS4 Only,March,Q4,2019-20,6334,5603,448
Gear Assembly 2 (BS4),BS4 Only,April,Q1,2020-21,6480,6308,372
Gear Assembly 2 (BS4),BS4 Only,May,Q1,2020-21,6734,6388,475
Gear Assembly 2 (BS4),BS4 Only,June,Q1,2020-21,6077,5571,392
Gear Assembly 2 (BS4),BS4 Only,July,Q2,2020-21,5174,4538,439
Gear Assembly 2 (BS4),BS4 Only,August,Q2,2020-21,6074,5486,424
Gear Assembly 2 (BS4),BS4 Only,September,Q2,2020-21,5891,5018,497
Gear Assembly 2 (BS4),BS4 Only,October,Q3,2020-21,6666,6372,550
Gear Assembly 2 (BS4),BS4 Only,November,Q3,2020-21,5831,5401,431
Gear Assembly 2 (BS4),BS4 Only,December,Q3,2020-21,5800,5437,396
Gear Assembly 2 (BS4),BS4 Only,January,Q4,2020-21,6007,5406,508
Gear Assembly 2 (BS4),BS4 Only,February,Q4,2020-21,5855,5281,545
Gear Assembly 2 (BS4),BS4 Only,March,Q4,2020-21,6686,6331,371
Gear Assembly 2 (BS4),BS4 Only,April,Q1,2021-22,5724,5461,415
Gear Assembly 2 (BS4),BS4 Only,May,Q1,2021-22,5762,5250,544
Gear Assembly 2 (BS4),BS4 Only,June,Q1,2021-22,6412,5716,452
Gear Assembly 2 (BS4),BS4 Only,July,Q2,2021-22,6231,5364,480
Gear Assembly 2 (BS4),BS4 Only,August,Q2,2021-22,5951,5721,381
Gear Assembly 3 (BS4/6),Combination,April,Q1,2019-20,6564,6203,341
Gear Assembly 3 (BS4/6),Combination,May,Q1,2019-20,5332,4680,379
Gear Assembly 3 (BS4/6),Combination,June,Q1,2019-20,5572,5059,365
Gear Assembly 3 (BS4/6),Combination,July,Q2,2019-20,6229,5336,396
Gear Assembly 3 (BS4/6),Combination,August,Q2,2019-20,6034,5501,389
Gear Assembly 3 (BS4/6),Combination,September,Q2,2019-20,5410,4884,361
Gear Assembly 3 (BS4/6),Combination,October,Q3,2019-20,6286,6127,357
Gear Assembly 3 (BS4/6),Combination,November,Q3,2019-20,5393,5203,435
Gear Assembly 3 (BS4/6),Combination,December,Q3,2019-20,5521,4871,561
Gear Assembly 3 (BS4/6),Combination,January,Q4,2019-20,5787,5367,347
Gear Assembly 3 (BS4/6),Combination,February,Q4,2019-20,5578,4976,396
Gear Assembly 3 (BS4/6),Combination,March,Q4,2019-20,5281,4901,565
Gear Assembly 3 (BS4/6),Combination,April,Q1,2020-21,6205,5665,331
Gear Assembly 3 (BS4/6),Combination,May,Q1,2020-21,6232,5814,503
Gear Assembly 3 (BS4/6),Combination,June,Q1,2020-21,6607,5837,393
Gear Assembly 3 (BS4/6),Combination,July,Q2,2020-21,6893,6167,420
Gear Assembly 3 (BS4/6),Combination,August,Q2,2020-21,5556,5053,400
Gear Assembly 3 (BS4/6),Combination,September,Q2,2020-21,5229,5094,469
Gear Assembly 3 (BS4/6),Combination,October,Q3,2020-21,6827,6108,432
Gear Assembly 3 (BS4/6),Combination,November,Q3,2020-21,5310,4704,364
Gear Assembly 3 (BS4/6),Combination,December,Q3,2020-21,5273,4766,360
Gear Assembly 3 (BS4/6),Combination,January,Q4,2020-21,5326,5046,423
Gear Assembly 3 (BS4/6),Combination,February,Q4,2020-21,6667,6436,379
Gear Assembly 3 (BS4/6),Combination,March,Q4,2020-21,6338,5771,428
Gear Assembly 3 (BS4/6),Combination,April,Q1,2021-22,6306,5622,508
Gear Assembly 3 (BS4/6),Combination,May,Q1,2021-22,5030,4985,435
Gear Assembly 3 (BS4/6),Combination,June,Q1,2021-22,5408,5177,516
Gear Assembly 3 (BS4/6),Combination,July,Q2,2021-22,5624,4921,364
Gear Assembly 3 (BS4/6),Combination,August,Q2,2021-22,6262,5820,444
Gear Assembly 4 (BS4/6),Combination,April,Q1,2019-20,5935,5353,415
Gear Assembly 4 (BS4/6),Combination,May,Q1,2019-20,6236,5964,544
Gear Assembly 4 (BS4/6),Combination,June,Q1,2019-20,5985,5292,527
Gear Assembly 4 (BS4/6),Combination,July,Q2,2019-20,6069,5571,368
Gear Assembly 4 (BS4/6),Combination,August,Q2,2019-20,5309,4570,452
Gear Assembly 4 (BS4/6),Combination,September,Q2,2019-20,6528,6063,522
Gear Assembly 4 (BS4/6),Combination,October,Q3,2019-20,6611,5981,560
Gear Assembly 4 (BS4/6),Combination,November,Q3,2019-20,5551,5142,488
Gear Assembly 4 (BS4/6),Combination,December,Q3,2019-20,5892,5576,396
Gear Assembly 4 (BS4/6),Combination,January,Q4,2019-20,6780,6247,448
Gear Assembly 4 (BS4/6),Combination,February,Q4,2019-20,6656,6352,471
Gear Assembly 4 (BS4/6),Combination,March,Q4,2019-20,6132,5583,462
Gear Assembly 4 (BS4/6),Combination,April,Q1,2020-21,5589,5187,440
Gear Assembly 4 (BS4/6),Combination,May,Q1,2020-21,6168,5851,437
Gear Assembly 4 (BS4/6),Combination,June,Q1,2020-21,6704,6091,497
Gear Assembly 4 (BS4/6),Combination,July,Q2,2020-21,6238,5746,427
Gear Assembly 4 (BS4/6),Combination,August,Q2,2020-21,5720,4972,372
Gear Assembly 4 (BS4/6),Combination,September,Q2,2020-21,5786,5410,498
Gear Assembly 4 (BS4/6),Combination,October,Q3,2020-21,5649,5603,448
Gear Assembly 4 (BS4/6),Combination,November,Q3,2020-21,5274,5018,469
Gear Assembly 4 (BS4/6),Combination,December,Q3,2020-21,5139,4817,364
Gear Assembly 4 (BS4/6),Combination,January,Q4,2020-21,6387,5913,539
Gear Assembly 4 (BS4/6),Combination,February,Q4,2020-21,5361,5064,396
Gear Assembly 4 (BS4/6),Combination,March,Q4,2020-21,6597,6244,526
Gear Assembly 4 (BS4/6),Combination,April,Q1,2021-22,5478,5175,463
Gear Assembly 4 (BS4/6),Combination,May,Q1,2021-22,5386,4868,551
Gear Assembly 4 (BS4/6),Combination,June,Q1,2021-22,5517,5026,459
Gear Assembly 4 (BS4/6),Combination,July,Q2,2021-22,6555,5793,368
Gear Assembly 4 (BS4/6),Combination,August,Q2,2021-22,5376,4761,381
Gear Assembly 5 (BS6),BS6 Only,April,Q1,2019-20,5491,4726,570
Gear Assembly 5 (BS6),BS6 Only,May,Q1,2019-20,6526,5716,457
Gear Assembly 5 (BS6),BS6 Only,June,Q1,2019-20,6445,5536,485
Gear Assembly 5 (BS6),BS6 Only,July,Q2,2019-20,5559,4913,556
Gear Assembly 5 (BS6),BS6 Only,August,Q2,2019-20,5335,4821,371
Gear Assembly 5 (BS6),BS6 Only,September,Q2,2019-20,5352,5357,489
Gear Assembly 5 (BS6),BS6 Only,October,Q3,2019-20,5673,5265,461
Gear Assembly 5 (BS6),BS6 Only,November,Q3,2019-20,5551,5367,357
Gear Assembly 5 (BS6),BS6 Only,December,Q3,2019-20,5391,5030,392
Gear Assembly 5 (BS6),BS6 Only,January,Q4,2019-20,6220,5502,484
Gear Assembly 5 (BS6),BS6 Only,February,Q4,2019-20,5172,4474,465
Gear Assembly 5 (BS6),BS6 Only,March,Q4,2019-20,5863,5663,546
Gear Assembly 5 (BS6),BS6 Only,April,Q1,2020-21,5856,5234,411
Gear Assembly 5 (BS6),BS6 Only,May,Q1,2020-21,5836,5303,502
Gear Assembly 5 (BS6),BS6 Only,June,Q1,2020-21,6207,5745,457
Gear Assembly 5 (BS6),BS6 Only,July,Q2,2020-21,6596,5940,521
Gear Assembly 5 (BS6),BS6 Only,August,Q2,2020-21,5582,4939,494
Gear Assembly 5 (BS6),BS6 Only,September,Q2,2020-21,5425,5183,457
Gear Assembly 5 (BS6),BS6 Only,October,Q3,2020-21,5997,5619,446
Gear Assembly 5 (BS6),BS6 Only,November,Q3,2020-21,6284,5902,338
Gear Assembly 5 (BS6),BS6 Only,December,Q3,2020-21,6246,5916,556
Gear Assembly 5 (BS6),BS6 Only,January,Q4,2020-21,5951,5592,517
Gear Assembly 5 (BS6),BS6 Only,February,Q4,2020-21,5780,5630,469
Gear Assembly 5 (BS6),BS6 Only,March,Q4,2020-21,6076,5644,435
Gear Assembly 5 (BS6),BS6 Only,April,Q1,2021-22,5650,4806,530
Gear Assembly 5 (BS6),BS6 Only,May,Q1,2021-22,5276,4633,513
Gear Assembly 5 (BS6),BS6 Only,June,Q1,2021-22,6016,5490,517
Gear Assembly 5 (BS6),BS6 Only,July,Q2,2021-22,6069,5306,562
Gear Assembly 5 (BS6),BS6 Only,August,Q2,2021-22,5736,5285,374
Gear Assembly 6 (BS6),BS6 Only,April,Q1,2019-20,6364,5794,492
Gear Assembly 6 (BS6),BS6 Only,May,Q1,2019-20,5201,4881,466
Gear Assembly 6 (BS6),BS6 Only,June,Q1,2019-20,5813,5032,431
Gear Assembly 6 (BS6),BS6 Only,July,Q2,2019-20,5145,4773,372
Gear Assembly 6 (BS6),BS6 Only,August,Q2,2019-20,5476,4896,400
Gear Assembly 6 (BS6),BS6 Only,September,Q2,2019-20,5913,5658,328
Gear Assembly 6 (BS6),BS6 Only,October,Q3,2019-20,5944,5955,499
Gear Assembly 6 (BS6),BS6 Only,November,Q3,2019-20,5260,4478,488
Gear Assembly 6 (BS6),BS6 Only,December,Q3,2019-20,6626,6087,556
Gear Assembly 6 (BS6),BS6 Only,January,Q4,2019-20,5679,5532,511
Gear Assembly 6 (BS6),BS6 Only,February,Q4,2019-20,5584,5333,404
Gear Assembly 6 (BS6),BS6 Only,March,Q4,2019-20,6285,5887,456
Gear Assembly 6 (BS6),BS6 Only,April,Q1,2020-21,5332,4956,456
Gear Assembly 6 (BS6),BS6 Only,May,Q1,2020-21,5915,5815,457
Gear Assembly 6 (BS6),BS6 Only,June,Q1,2020-21,6585,5983,534
Gear Assembly 6 (BS6),BS6 Only,July,Q2,2020-21,6685,6325,530
Gear Assembly 6 (BS6),BS6 Only,August,Q2,2020-21,6080,5852,424
Gear Assembly 6 (BS6),BS6 Only,September,Q2,2020-21,5497,4910,494
Gear Assembly 6 (BS6),BS6 Only,October,Q3,2020-21,6353,5896,448
Gear Assembly 6 (BS6),BS6 Only,November,Q3,2020-21,5482,4930,428
Gear Assembly 6 (BS6),BS6 Only,December,Q3,2020-21,6772,6423,478
Gear Assembly 6 (BS6),BS6 Only,January,Q4,2020-21,6440,5575,562
Gear Assembly 6 (BS6),BS6 Only,February,Q4,2020-21,5227,4756,539
Gear Assembly 6 (BS6),BS6 Only,March,Q4,2020-21,5970,5601,392
Gear Assembly 6 (BS6),BS6 Only,April,Q1,2021-22,6677,6252,459
Gear Assembly 6 (BS6),BS6 Only,May,Q1,2021-22,6025,5706,462
Gear Assembly 6 (BS6),BS6 Only,June,Q1,2021-22,5353,4785,433
Gear Assembly 6 (BS6),BS6 Only,July,Q2,2021-22,5942,5304,412
Gear Assembly 6 (BS6),BS6 Only,August,Q2,2021-22,6199,5751,328
